track_id,t,label,x,y,area,axis_len
1,0,2,23.126195028680687,211.085086042065,1046.0,73.0
2,0,4,24.884615384615383,135.70637898686678,1066.0,76.0
3,0,1,21.695145631067962,59.20873786407767,1030.0,76.0
1,1,2,23.15362865221489,212.57587181903864,1061.0,74.0
2,1,4,25.22761194029851,136.41044776119404,1072.0,78.0
3,1,1,23.88450962419798,60.5563703024748,1091.0,76.0
1,2,2,20.699596774193548,213.08064516129033,992.0,75.0
2,2,4,25.231267345050878,137.11748381128584,1081.0,79.0
3,2,1,21.720306513409962,59.19731800766284,1044.0,76.0
1,3,2,20.702106318956872,214.32196589769308,997.0,75.0
2,3,4,24.891324200913242,138.03470319634704,1095.0,79.0
3,3,1,21.722274881516586,59.61611374407583,1055.0,77.0
1,4,2,20.70149253731343,216.62587064676617,1005.0,76.0
2,4,4,24.892086330935253,139.52428057553956,1112.0,80.0
3,4,1,23.880463871543267,61.50044603033006,1121.0,78.0
1,5,2,20.69790628115653,217.54336989032902,1003.0,75.0
2,5,4,25.226126126126125,140.11261261261262,1110.0,81.0
3,5,1,23.906832298136646,61.69742679680568,1127.0,78.0
1,6,2,23.314523589269196,219.35430157261794,1081.0,74.0
2,6,4,25.225806451612904,140.8978494623656,1116.0,81.0
3,6,1,23.872471416007038,62.02814423922603,1137.0,79.0
1,7,2,20.729508196721312,218.97438524590163,976.0,72.0
2,7,4,24.875656742556917,141.63747810858143,1142.0,82.0
3,7,1,21.712442396313364,61.12165898617511,1085.0,80.0
1,8,2,23.503824091778203,220.70076481835565,1046.0,71.0
2,8,4,24.8770706190061,142.80906713164777,1147.0,82.0
3,8,1,23.86568457538995,62.574523396880416,1154.0,80.0
1,9,2,23.64187866927593,221.42857142857142,1022.0,70.0
2,9,4,24.88591184096802,144.06136560069143,1157.0,83.0
3,9,1,21.690217391304348,61.77445652173913,1104.0,81.0
1,10,2,21.05837837837838,221.4691891891892,925.0,67.0
2,10,4,25.236660929432013,145.49569707401034,1162.0,84.0
3,10,1,21.68632707774799,61.82931188561216,1119.0,82.0
1,11,2,21.07717750826902,222.13120176405732,907.0,66.0
2,11,4,25.22431506849315,146.43407534246575,1168.0,84.0
3,11,1,21.69858156028369,62.09308510638298,1128.0,82.0
1,12,2,20.875424688561722,222.80294450736127,883.0,65.0
2,12,4,25.22222222222222,147.28367003367003,1188.0,86.0
3,12,1,21.68920105355575,62.49517120280948,1139.0,83.0
1,13,2,20.89988358556461,223.76949941792782,859.0,63.0
2,13,4,25.22564529558701,148.74937552039967,1201.0,87.0
3,13,1,21.70173913043478,63.25391304347826,1150.0,84.0
1,14,2,20.940828402366865,224.36923076923077,845.0,62.0
2,14,4,24.893092105263158,149.77631578947367,1216.0,87.0
3,14,1,21.70618556701031,63.700171821305844,1164.0,85.0
1,15,2,24.170842824601365,226.19931662870158,878.0,60.0
2,15,4,25.225700164744644,150.62767710049422,1214.0,88.0
3,15,1,23.870340356564018,65.17504051863857,1234.0,85.0
1,16,2,21.0320987654321,226.0185185185185,810.0,59.0
2,16,4,25.209967320261438,151.9436274509804,1224.0,89.0
3,16,1,21.694256756756758,64.01773648648648,1184.0,86.0
1,17,2,21.041825095057035,226.9062103929024,789.0,57.0
2,17,4,25.227346278317153,152.9967637540453,1236.0,89.0
3,17,1,21.692695214105793,64.59865659109991,1191.0,87.0
1,18,2,24.3955500618047,228.4894932014833,809.0,56.0
2,18,4,24.881274900398406,154.4414342629482,1255.0,90.0
3,18,1,21.679135494596842,64.72568578553616,1203.0,88.0
1,19,2,21.164420485175203,229.0309973045822,742.0,53.0
2,19,4,25.217183770883054,155.72315035799522,1257.0,91.0
3,19,1,21.693508627773213,65.52999178307313,1217.0,89.0
1,20,2,24.49074074074074,230.20634920634922,756.0,52.0
2,20,4,25.212025316455698,156.73417721518987,1264.0,91.0
3,20,1,23.842428900845505,67.47886241352805,1301.0,90.0
1,21,2,23.962162162162162,230.8027027027027,740.0,51.0
2,21,4,25.208791208791208,158.0486656200942,1274.0,92.0
3,21,1,21.673354735152486,66.48555377207063,1246.0,91.0
1,22,2,21.292753623188407,231.22173913043477,690.0,49.0
2,22,4,24.869498069498068,158.97220077220078,1295.0,93.0
3,22,1,21.676,66.3536,1250.0,91.0
1,23,2,21.369822485207102,231.92307692307693,676.0,48.0
2,23,4,25.109992254066615,160.4337722695585,1291.0,93.0
3,23,1,21.67721518987342,66.92958860759494,1264.0,92.0
2,24,4,25.439005439005438,161.06759906759908,1287.0,94.0
3,24,1,23.837053571428573,68.96949404761905,1344.0,93.0
2,25,4,25.228702993092863,162.3077513430545,1303.0,94.0
3,25,1,21.680967238689547,68.11700468018721,1282.0,94.0
2,26,4,25.45245398773006,163.5590490797546,1304.0,95.0
3,26,1,21.7107501933488,68.13611755607116,1293.0,95.0
2,27,4,25.457575757575757,164.44469696969696,1320.0,97.0
3,27,1,21.71099154496541,68.41275941583397,1301.0,95.0
2,28,4,25.44973544973545,165.58427815570673,1323.0,97.0
3,28,1,21.687261632341723,68.82456140350877,1311.0,96.0
2,29,4,25.081282624906788,166.83296047725577,1341.0,98.0
3,29,1,21.687689969604865,69.01139817629179,1316.0,97.0
2,30,4,25.431124348473567,168.51526433358154,1343.0,99.0
3,30,1,21.686230248306998,69.84349134687736,1329.0,98.0
2,31,4,25.449962935507784,169.8295033358043,1349.0,100.0
3,31,1,23.830148619957537,71.91436659589526,1413.0,99.0
2,32,4,25.071953010279003,171.12041116005875,1362.0,101.0
3,32,1,21.708333333333332,70.51785714285714,1344.0,100.0
2,33,4,25.441481481481482,172.37703703703704,1350.0,101.0
3,33,1,21.699331848552337,71.4090571640683,1347.0,101.0
4,34,5,24.857962697274033,198.50502152080344,697.0,51.0
